k,Train Accuracy,Train F1,Validation Accuracy,Validation Precision,Validation Recall,Validation F1
1,1.0,1.0,0.62,0.6176470588235294,0.5753424657534246,0.5957446808510638
3,0.82,0.8189655172413793,0.68,0.6811594202898551,0.6438356164383562,0.6619718309859155
5,0.7985714285714286,0.7988587731811697,0.68,0.6712328767123288,0.6712328767123288,0.6712328767123288
7,0.7714285714285715,0.773371104815864,0.6666666666666666,0.6493506493506493,0.684931506849315,0.6666666666666666
9,0.7471428571428571,0.7565337001375516,0.6733333333333333,0.6395348837209303,0.7534246575342466,0.6918238993710691
11,0.7542857142857143,0.7637362637362637,0.6866666666666666,0.6511627906976745,0.7671232876712328,0.7044025157232704
13,0.7557142857142857,0.76797829036635,0.68,0.6506024096385542,0.7397260273972602,0.6923076923076923
15,0.7557142857142857,0.7686062246278755,0.68,0.6506024096385542,0.7397260273972602,0.6923076923076923
17,0.7514285714285714,0.7629427792915532,0.68,0.6506024096385542,0.7397260273972602,0.6923076923076923
19,0.7514285714285714,0.7635869565217391,0.6933333333333334,0.6588235294117647,0.7671232876712328,0.7088607594936709
21,0.7485714285714286,0.7615176151761518,0.6933333333333334,0.6588235294117647,0.7671232876712328,0.7088607594936709
23,0.7485714285714286,0.7621621621621621,0.6933333333333334,0.6588235294117647,0.7671232876712328,0.7088607594936709
25,0.7528571428571429,0.7658998646820027,0.6933333333333334,0.6588235294117647,0.7671232876712328,0.7088607594936709
27,0.7485714285714286,0.7615176151761518,0.6933333333333334,0.6588235294117647,0.7671232876712328,0.7088607594936709
29,0.7457142857142857,0.7574931880108992,0.6933333333333334,0.6588235294117647,0.7671232876712328,0.7088607594936709
31,0.7471428571428571,0.7598371777476255,0.6933333333333334,0.6588235294117647,0.7671232876712328,0.7088607594936709
33,0.75,0.7631935047361299,0.6866666666666666,0.6511627906976745,0.7671232876712328,0.7044025157232704
35,0.7471428571428571,0.7578659370725034,0.6933333333333334,0.6588235294117647,0.7671232876712328,0.7088607594936709
37,0.7414285714285714,0.7517146776406035,0.7066666666666667,0.6746987951807228,0.7671232876712328,0.717948717948718
39,0.7414285714285714,0.7510316368638239,0.7133333333333334,0.6785714285714286,0.7808219178082192,0.7261146496815286
41,0.74,0.7493112947658402,0.7066666666666667,0.6746987951807228,0.7671232876712328,0.717948717948718
43,0.7485714285714286,0.7595628415300546,0.7,0.6666666666666666,0.7671232876712328,0.7133757961783439
45,0.74,0.7506849315068493,0.7066666666666667,0.6746987951807228,0.7671232876712328,0.717948717948718
47,0.7414285714285714,0.7523939808481532,0.7133333333333334,0.6829268292682927,0.7671232876712328,0.7225806451612903
49,0.7428571428571429,0.7534246575342466,0.6933333333333334,0.6626506024096386,0.7534246575342466,0.7051282051282052
51,0.7385714285714285,0.7482806052269602,0.7,0.6707317073170732,0.7534246575342466,0.7096774193548387
